Frame number,Identity number,Bounding box left,Bounding box top,Bounding box width,Bounding box height,Area,Centroid,xCentroid,yCentroid
188,4,558,137,26,73,1111,,571.0981098109811,180.20072007200721
188,2,163,161,23,34,390,,172.17435897435897,179.49487179487178
188,2,169,201,21,28,265,,176.33962264150944,218.3811320754717
188,12,305,211,42,81,1706,,322.1008206330598,258.80890973036344
188,9,633,229,45,93,2361,,656.850487081745,279.95552731893264
188,3,541,237,33,96,2107,,557.7793070716659,287.60132890365446
189,6,687,104,14,51,508,,693.1771653543307,128.69094488188978
189,6,712,110,13,44,424,,718.316037735849,131.63443396226415
189,4,547,139,36,74,1204,,564.0174418604652,180.87873754152824
189,2,153,162,33,67,990,,165.06868686868688,200.7858585858586
189,12,297,208,29,83,1497,,308.8049432197729,251.83633934535737
189,9,645,230,42,93,2435,,666.3942505133471,278.3268993839836
189,3,547,238,46,96,2082,,565.678674351585,283.3799231508165
190,6,687,105,17,50,534,,693.9082397003746,128.9681647940075
190,6,713,110,12,45,421,,718.2779097387173,131.46555819477436
190,4,547,140,32,73,1241,,560.1506849315068,182.20870265914584
190,2,149,161,32,67,859,,160.9790454016298,199.20256111757857
190,12,281,208,44,81,1509,,303.32405566600397,250.11265738899934
190,9,648,231,43,95,2146,,670.705964585275,276.7497670083877
190,3,547,241,50,101,2162,,569.432007400555,287.7821461609621
191,6,687,105,17,48,533,,694.2457786116323,127.49718574108817
191,6,712,110,13,45,414,,718.256038647343,131.51932367149757
191,4,544,139,27,74,1196,,555.7792642140469,178.41387959866222
191,2,144,160,26,66,878,,154.56150341685648,193.2744874715262
191,12,271,207,47,82,1654,,297.6015719467957,250.8403869407497
191,9,651,232,43,99,2117,,674.1100614076523,279.04204062352386
191,3,550,244,49,101,2253,,572.4829116733245,291.64491788726144
192,6,686,101,19,55,618,,694.9563106796116,127.00647249190939
192,6,712,110,13,45,422,,718.3601895734597,131.83175355450237
192,4,539,139,25,75,1038,,551.7119460500963,176.09826589595374
192,2,139,160,26,65,1091,,150.25756186984418,195.76810265811181
192,12,267,206,48,82,1585,,293.1722397476341,249.02649842271293
192,9,655,235,42,97,2112,,677.3030303030303,283.500946969697
192,3,555,247,46,100,2279,,575.9214567792892,295.2540587977183
193,6,686,100,38,56,1224,,703.9820261437909,130.0498366013072
193,4,528,142,32,76,1265,,544.0110671936759,184.7209486166008
193,2,129,160,32,64,897,,141.73801560758082,196.3489409141583
193,12,269,203,32,82,1606,,282.8854296388543,247.40099626400996
193,9,664,238,40,95,2274,,683.9344766930519,285.69876868953384
193,3,571,248,27,99,2020,,584.2470297029703,298.0876237623762
194,6,685,100,20,55,758,,694.8416886543536,127.57255936675462
194,6,711,110,13,44,431,,717.677494199536,130.74709976798144
194,4,527,143,31,75,1214,,540.5288303130149,186.33855024711696
194,2,125,159,33,64,979,,136.9979570990807,195.48723186925434
194,12,263,203,36,80,1539,,278.7842755035737,248.76543209876544
194,9,671,238,38,96,2306,,688.5689505637467,288.5676496097138
194,3,573,251,33,102,2177,,588.5714285714286,305.35231970601745
195,6,685,99,39,56,1271,,703.2179386309992,129.97797010228166
195,4,526,143,25,75,1021,,536.2742409402547,185.56317335945153
195,2,121,158,23,64,723,,131.55601659751036,188.68188105117565
195,12,259,203,37,80,1599,,274.2063789868668,247.09505941213257
195,9,673,240,39,98,2429,,693.1193906957595,292.4820913956361
195,3,573,253,40,103,2218,,593.2362488728585,308.18755635707845
196,6,684,100,23,55,790,,694.0240506329114,129.68481012658228
196,6,711,110,13,44,445,,717.1595505617978,130.31910112359552
196,4,518,143,22,76,1109,,527.8412984670874,186.29305680793507
196,2,112,159,30,63,917,,123.45474372955289,195.525627044711
196,12,250,199,27,81,1372,,262.5524781341108,239.10932944606415
196,9,677,245,45,98,2597,,701.22102425876,298.95610319599535
196,3,585,256,42,100,2303,,603.3955709943552,307.4277029960921
197,6,683,100,20,55,752,,693.2273936170212,128.63297872340425
197,6,710,110,14,44,454,,716.9801762114538,130.08370044052865
197,4,507,144,32,77,1216,,523.9457236842105,188.29769736842104
197,2,108,158,31,64,865,,119.7942196531792,193.3514450867052
197,12,238,198,39,80,1365,,257.87252747252745,237.46813186813188
197,9,682,246,43,97,2570,,705.9190661478599,299.99805447470817
197,3,591,257,45,104,2215,,608.2975169300225,307.01354401805867
198,6,683,100,20,55,749,,692.7329773030708,127.39919893190921
198,6,710,111,14,43,460,,716.8326086956522,130.66739130434783
198,4,502,147,37,75,1293,,520.5638051044084,190.07037896365043
198,2,104,157,26,65,795,,114.7874213836478,190.77987421383648
198,12,230,198,44,80,1506,,253.83266932270917,239.8406374501992
198,3,593,261,49,106,2529,,612.8453934361407,314.4665875840253
198,9,690,260,40,84,2337,,710.3654257595208,300.52588789045785
199,6,680,101,21,53,735,,690.8544217687075,127.63401360544218
199,6,703,111,21,44,588,,715.1411564625851,133.72108843537416
199,4,500,148,33,75,1378,,512.8526850507983,188.96081277213352
199,2,92,158,33,62,1020,,106.0,192.27843137254902
199,12,227,195,35,80,1459,,244.4132967786155,235.748457847841
199,9,697,250,41,104,2335,,717.3430406852249,301.04325481798713
199,3,605,265,42,105,2408,,623.4551495016611,318.7703488372093
200,6,679,101,45,53,1349,,701.3039288361749,130.46553002223868
200,4,495,147,29,76,1220,,508.89262295081966,186.20491803278688
200,2,90,158,34,62,953,,102.58027282266526,192.94123819517313
200,12,229,194,29,80,1463,,240.79972658920028,235.755980861244
200,9,701,253,40,103,2339,,720.664386489953,304.77426250534415
200,3,614,265,29,105,2111,,629.4017053529133,316.3879677877783
201,6,679,101,44,56,1373,,701.0968681718864,131.25928623452293
201,2,87,157,30,63,1010,,97.78118811881188,191.91287128712872
201,4,490,156,29,70,1203,,504.3790523690773,188.308395677473
201,12,221,194,37,79,1524,,236.78412073490813,238.5255905511811
201,3,619,267,35,105,2465,,635.07261663286,323.8186612576065
201,9,706,268,38,89,2297,,723.6216804527645,310.1210274270788
202,6,678,102,42,55,1373,,699.6904588492353,131.7931536780772
202,4,480,152,35,76,1383,,496.115690527838,195.2704266088214
202,2,78,155,31,64,809,,89.65512978986403,189.9715698393078
202,12,216,192,33,78,1478,,227.67591339648172,235.42625169147496
202,9,711,257,39,101,2467,,731.7673287393595,312.4665585731658
202,3,622,273,45,108,2673,,645.7325102880659,331.06771417882527
203,6,678,102,40,55,1378,,698.244557329463,131.52322206095792
203,4,478,153,34,76,1248,,491.3349358974359,197.16426282051282
203,2,74,156,33,62,852,,86.06103286384976,191.69131455399062
203,12,208,192,29,78,1290,,221.79302325581395,230.24651162790698
203,9,715,259,40,105,2616,,735.308486238532,317.4579510703364
203,3,628,276,47,105,2984,,651.2144772117963,332.8780160857909
204,6,677,101,40,57,1529,,697.1798561151079,131.32177894048397
204,4,477,152,24,77,1048,,486.01335877862596,194.4456106870229
204,2,71,155,31,62,825,,82.10545454545455,189.26909090909092
204,12,198,191,38,77,1225,,217.22857142857143,228.49142857142857
204,9,716,263,45,104,2657,,739.1640948438088,321.56492284531424
204,3,634,276,49,107,2736,,655.6352339181286,328.640350877193
205,6,677,102,38,55,1556,,694.9215938303342,132.08997429305913
205,2,64,153,26,63,799,,73.55444305381727,188.40801001251563
205,4,464,155,29,74,1276,,476.7813479623824,197.91614420062695
205,12,189,190,40,78,1316,,209.30851063829786,229.98480243161094
205,9,722,280,46,89,2709,,747.7131782945736,324.48652639350314
205,3,638,283,54,113,2966,,663.6149696561025,336.3816587997303
206,6,674,102,41,59,1630,,694.0030674846626,133.0601226993865
206,2,58,154,31,61,958,,69.9070981210856,188.46450939457202
206,4,452,154,40,77,1347,,472.1484780994803,199.2256867112101
206,12,187,189,35,77,1293,,203.9597834493426,227.28924980665118
206,9,730,280,38,90,2362,,750.9276037256562,324.23539373412365
206,3,643,286,52,113,3088,,667.0848445595855,340.8860103626943
207,6,674,109,40,53,1555,,693.3337620578778,133.45530546623795
207,2,56,154,31,61,950,,66.72736842105263,188.52315789473684
207,4,451,156,40,76,1208,,468.7524834437086,198.26903973509934
207,12,188,188,28,77,1343,,199.6373790022338,228.26731198808636
207,9,736,281,32,93,2086,,753.5196548418025,326.73969319271333
207,3,647,288,48,111,3100,,669.7770967741935,343.7825806451613
208,6,670,109,44,50,1406,,691.0384068278805,133.76458036984351
208,2,47,152,26,62,750,,57.90133333333333,181.66133333333335
208,4,447,157,29,75,1096,,459.1240875912409,198.03740875912408
208,12,179,189,35,73,1308,,191.61085626911316,228.80045871559633
208,9,740,274,28,109,1805,,757.6792243767313,333.0337950138504
208,3,655,290,39,111,2876,,674.1175243393602,344.6672461752434
209,6,668,109,22,50,794,,679.3123425692695,132.55919395465995
209,6,695,114,19,46,583,,704.9382504288164,135.32075471698113
209,2,43,152,27,61,711,,54.218002812939524,183.52601969057665
209,4,440,156,28,78,1118,,453.8944543828265,194.90250447227191
209,12,173,188,36,74,1273,,186.43047918303222,228.12411626080126
209,9,742,278,26,105,1476,,758.829268292683,336.8509485094851
209,3,655,292,43,117,3134,,675.5874282067646,350.0003190810466
210,6,667,110,47,51,1452,,690.0716253443526,134.53787878787878
210,2,40,153,30,60,828,,51.67874396135266,185.84541062801932
210,4,435,156,31,78,1143,,451.0,193.40944881889763
210,12,169,187,28,72,1023,,179.86608015640275,222.66862170087975
210,9,745,292,23,92,1052,,760.6425855513309,341.5019011406844
210,3,656,294,49,118,3249,,676.390889504463,352.32471529701445
211,6,666,110,48,51,1416,,689.6200564971751,134.69915254237287
211,2,32,151,28,60,752,,43.13696808510638,181.59574468085106
211,4,433,160,16,45,531,,440.43502824858757,185.33333333333334
211,12,153,187,39,73,1212,,169.3589108910891,225.79950495049505
211,10,447,213,15,19,210,,452.4952380952381,223.52380952380952
211,3,650,297,56,115,3589,,675.8130398439677,357.1083867372527
211,9,759,301,9,84,322,,765.0310559006211,346.7049689440994
212,6,666,111,47,51,1401,,689.6852248394005,135.47251962883655
212,2,30,150,28,60,892,,40.09529147982063,183.15582959641256
212,4,432,161,11,44,285,,436.9789473684211,185.1298245614035
212,12,150,187,34,72,1192,,164.91862416107384,224.67197986577182
212,3,647,298,49,115,3400,,673.7897058823529,358.7785294117647
213,6,665,111,47,53,1417,,689.3690896259703,136.95977417078333
213,2,25,151,29,58,824,,36.39563106796116,184.0351941747573
213,5,423,180,16,24,274,,429.24087591240874,191.1058394160584
213,12,147,186,32,73,1098,,161.05464480874318,223.29234972677597
213,3,641,299,50,117,3282,,669.6575258988422,364.07251675807436
214,6,665,112,45,52,1460,,687.5897260273972,137.17191780821918
214,2,19,150,29,58,797,,29.49435382685069,182.51693851944793
214,5,410,162,19,43,449,,420.1224944320713,188.29621380846325
214,12,138,186,32,72,1289,,152.97982932505818,222.4375484871994
214,5,400,216,16,22,215,,409.646511627907,229.1813953488372
214,3,636,300,51,116,3244,,662.2083847102343,366.83168927250307
215,6,665,112,43,52,1472,,686.2255434782609,137.8138586956522
215,2,15,149,24,58,572,,25.39160839160839,177.4527972027972
215,5,396,163,30,76,904,,412.60730088495575,201.67920353982302
215,12,133,187,36,72,1413,,148.32625619249822,225.13446567586695
215,3,636,300,48,117,3055,,658.2749590834698,366.3351882160393
216,6,665,106,42,59,1573,,685.4570883661793,137.3006993006993
216,2,11,149,28,58,663,,22.660633484162897,179.92006033182503
216,5,396,175,24,64,858,,408.5745920745921,205.3170163170163
216,12,129,187,36,71,1385,,143.34657039711192,226.1667870036101
216,3,635,300,40,119,2747,,652.403713141609,365.26538041499816
217,6,665,106,40,60,1688,,684.1735781990521,137.53732227488152
217,2,8,149,29,58,779,,19.894736842105264,180.62772785622593
217,5,396,162,20,77,1038,,405.44123314065513,204.02601156069363
217,12,125,187,34,72,1144,,137.9396853146853,226.2027972027972
217,3,619,300,44,121,3067,,644.2976850342354,368.6925334202804
218,6,665,113,41,53,1650,,683.9787878787879,139.18727272727273
218,2,5,148,30,59,751,,16.88948069241012,179.48468708388816
218,5,391,169,25,71,1014,,401.8954635108481,205.10059171597632
218,12,119,186,30,72,1006,,131.77435387673955,220.8409542743539
218,3,604,301,58,117,3379,,637.773009766203,371.5516424977804
219,6,663,114,40,55,1580,,682.713924050633,141.13227848101266
219,2,0,147,26,58,758,,9.310026385224274,179.36147757255938
219,5,371,163,41,80,1369,,391.09203798392986,210.95836376917458
219,12,102,187,40,70,1266,,122.63665086887836,225.19194312796208
219,11,747,247,21,87,756,,761.3558201058202,302.484126984127
219,3,595,301,61,116,3326,,624.792543595911,370.2086590499098
220,6,662,114,41,55,1557,,681.742453436095,141.04431599229287
220,2,0,148,18,29,246,,7.004065040650406,163.77642276422765
220,5,368,165,42,77,1341,,387.123788217748,212.38255033557047
220,2,0,180,25,25,309,,9.6957928802589,193.71197411003237
220,12,100,186,40,70,1199,,119.01334445371143,224.4628857381151
220,11,744,244,24,91,1242,,759.8067632850242,294.8953301127214
220,3,587,299,57,118,3178,,616.409691629956,367.25204531151667
221,6,661,114,41,55,1619,,680.9808523780111,141.27671402100063
221,5,368,163,37,79,1357,,381.77376565954313,211.03168754605747
221,12,100,185,34,71,1092,,114.01739926739927,221.66941391941393
221,11,738,240,30,93,1650,,757.099393939394,289.4660606060606
221,3,584,297,42,118,2988,,607.2416331994646,360.2215528781794
222,6,659,115,42,54,1601,,680.5146783260462,141.11305434103684
222,5,366,163,27,79,1128,,375.6764184397163,207.43085106382978
222,12,95,184,30,72,1087,,108.83348666053358,221.06807727690892
222,11,733,237,35,91,1885,,751.8954907161803,285.4811671087533
222,3,569,297,53,117,3425,,599.71299270073,361.72379562043795
223,6,658,109,43,62,1636,,679.9755501222494,142.00550122249388
223,5,348,165,37,78,1438,,364.1133518776078,209.5910987482615
223,12,82,186,42,69,1282,,101.39079563182527,225.20748829953197
223,11,714,236,44,89,2233,,740.960591133005,286.5315718763995
223,3,559,293,55,121,3206,,587.2620087336245,360.0970056144729
224,6,657,117,45,55,1715,,679.8069970845481,143.83498542274052
224,5,338,170,45,73,1436,,358.87325905292477,212.19568245125348
224,12,85,186,34,69,1164,,97.21048109965636,225.5266323024055
224,11,715,234,41,90,2185,,736.5473684210526,284.2933638443936
224,3,555,290,49,120,3078,,579.038661468486,356.49447693307343
225,6,657,111,44,62,1737,,678.979274611399,144.8762233736327
225,5,336,167,45,77,1424,,354.5435393258427,212.86095505617976
225,12,81,185,28,69,944,,92.0582627118644,222.15572033898306
225,11,712,231,35,88,1953,,730.1090629800307,278.80286738351253
225,3,545,288,47,120,3006,,572.2441783100465,354.0728542914172
226,6,655,117,44,56,1722,,676.6074332171893,144.32171893147503
226,5,333,168,25,76,1027,,341.9230769230769,207.68743914313535
226,12,65,185,38,68,1078,,82.68923933209648,223.1187384044527
226,11,700,229,35,87,1792,,719.1205357142857,275.0306919642857
226,3,528,287,55,117,3261,,559.9043238270469,353.8779515486047
227,6,655,118,41,55,1741,,674.4204480183803,144.86731763354393
227,5,324,166,30,79,1287,,336.3061383061383,210.8135198135198
227,12,61,185,39,68,1038,,79.67533718689788,222.60597302504817
227,11,694,228,37,88,1874,,713.940234791889,275.4749199573106
227,3,530,284,50,117,3141,,554.5762496020376,350.44539955428206
227,13,751,382,17,30,291,,760.852233676976,397.06872852233676
228,6,655,119,40,55,1725,,674.0052173913043,145.28
228,5,310,169,42,75,1355,,330.77859778597787,212.64059040590405
228,12,59,183,36,69,992,,75.63004032258064,219.6522177419355
228,11,691,225,33,88,1732,,708.9965357967667,271.59584295612007
228,3,523,281,49,117,3013,,547.4231662794557,345.2864254895453
228,13,743,317,25,95,1142,,759.7854640980736,373.0341506129597
229,6,652,121,42,53,1776,,673.0427927927927,147.10247747747746
229,5,307,166,43,76,1349,,326.5366938472943,210.93847294292067
229,12,59,182,29,69,998,,71.43386773547094,218.31062124248496
229,11,687,222,32,87,1706,,703.1148886283704,267.2409144196952
229,3,513,279,46,112,2650,,540.5354716981132,338.12528301886795
229,13,736,294,32,117,1837,,757.1654872074034,367.7806205770278
230,6,651,115,43,62,1758,,671.4744027303755,147.27701934015928
230,5,303,164,33,78,1353,,315.4708056171471,206.31781226903178
230,12,53,182,32,68,1147,,65.46294681778552,220.30950305143853
230,11,669,220,41,85,1984,,693.2615927419355,268.0821572580645
230,3,504,277,49,114,2905,,532.1218588640276,338.48640275387265
230,13,721,294,47,114,2949,,751.4849101390301,359.59782977280435
231,6,649,115,44,60,1707,,670.3889865260692,146.9642647920328
231,5,293,164,31,77,1133,,309.10767872903796,200.63195057369813
231,12,50,182,30,67,1048,,61.847328244274806,218.6841603053435
231,11,667,219,40,86,2001,,689.5087456271864,267.0709645177411
231,3,503,274,46,115,2678,,527.8368185212845,334.9182225541449
231,13,719,292,49,115,3227,,747.8466067555005,357.4521227145956
232,6,648,114,44,62,1759,,669.2944855031268,147.39681637293916
232,5,286,163,37,78,1380,,304.0978260869565,204.70434782608694
232,12,48,182,29,67,973,,59.30113052415211,217.54984583761563
232,11,667,217,35,85,1885,,684.5681697612732,264.11724137931037
232,3,506,271,37,114,2611,,523.0444274224435,331.1371122175412
232,13,715,290,53,114,3320,,742.5659638554217,355.9731927710843
233,6,646,115,45,61,1694,,668.2833530106258,148.2060212514758
233,5,278,164,41,78,1383,,294.75632682574116,208.48951554591468
233,12,44,181,29,67,845,,55.86272189349113,213.71597633136093
233,11,661,214,28,83,1430,,674.2818181818182,254.54125874125873
233,3,490,268,42,111,2670,,512.8333333333334,328.1393258426966
233,13,707,286,43,113,2617,,730.5124188001529,344.3484906381353
234,6,646,115,45,62,1723,,668.0237957051654,148.65060940220545
234,5,278,164,33,77,1230,,289.9382113821138,208.74552845528456
234,12,42,180,30,68,840,,55.055952380952384,213.11190476190475
234,11,650,213,33,84,1643,,668.8362751065125,258.6902008520998
234,3,480,268,50,110,2855,,507.59964973730297,329.37302977232923
234,13,701,285,44,113,2907,,725.5565875472996,345.79153766769866
235,6,646,116,45,64,1745,,668.8968481375358,149.723782234957
235,5,275,163,27,78,1033,,284.76669893514037,205.45885769603098
235,12,41,180,30,68,825,,54.68727272727273,212.3551515151515
235,11,645,213,38,83,1687,,664.2139893301719,259.3550681683462
235,3,481,265,45,111,2873,,502.6811695092238,325.33031674208144
235,13,693,284,48,114,3081,,720.6802986043492,347.44173969490424
236,6,646,117,44,64,1806,,667.62569213732,150.10963455149502
236,5,257,160,38,79,1223,,275.45216680294357,206.4472608340147
236,12,42,180,32,67,842,,54.350356294536816,211.81116389548694
236,11,638,208,29,84,1541,,653.4691758598312,252.28617780661907
236,3,466,261,44,106,2439,,490.54366543665435,314.2460024600246
236,13,687,280,44,114,2705,,710.7552680221811,342.28317929759703
237,6,646,117,42,63,1876,,666.3113006396588,150.5815565031983
237,5,253,162,40,77,1235,,271.50607287449395,206.1740890688259
237,12,41,179,31,67,866,,53.85912240184758,211.34064665127022
237,11,633,207,30,82,1694,,648.5968122786304,252.0637544273908
237,3,461,261,44,107,2364,,485.4373942470389,313.8155668358714
237,13,681,278,41,112,2693,,703.9691793538805,338.939844040104
238,6,645,123,42,57,1891,,665.527763088313,151.88894764674777
238,5,253,163,36,76,1235,,267.68987854251014,204.76356275303644
238,12,41,179,31,67,895,,53.82905027932961,211.64022346368716
238,11,621,207,40,81,1867,,643.6732726298875,253.42206748794857
238,3,457,260,45,107,2581,,480.72026346377373,316.53235180162727
238,13,675,276,42,111,2882,,698.9087439278279,338.7172102706454
239,6,646,117,41,64,1871,,664.9513629075361,150.9722073757349
239,5,251,161,34,77,1395,,263.3770609318996,202.87025089605734
239,12,41,179,33,67,897,,53.818283166109254,211.48160535117057
239,11,618,206,39,82,1888,,639.5158898305085,252.2844279661017
239,3,454,257,45,109,2500,,476.692,313.9212
239,13,663,275,50,110,2976,,693.9418682795699,339.28965053763443
240,6,645,124,41,57,1894,,664.4508975712777,152.4947201689546
240,5,241,161,36,76,1297,,258.2467232074017,198.6846569005397
240,12,41,179,29,68,894,,53.61856823266219,211.2304250559284
240,11,618,205,35,81,1764,,634.4353741496599,249.54138321995464
240,3,453,254,39,107,2412,,471.1169154228856,310.00373134328356
240,13,658,275,54,110,3031,,689.0649950511382,339.7703728142527
241,6,644,118,43,65,1952,,664.40625,152.75204918032787
241,5,238,159,34,78,1195,,254.10376569037658,194.36652719665273
241,12,41,179,30,67,901,,53.755826859045506,211.26859045504995
241,11,616,202,27,81,1547,,629.0310277957337,244.7427278603749
241,3,450,252,34,106,2370,,466.38396624472574,307.2135021097046
241,13,657,274,54,110,2995,,684.4257095158598,338.2110183639399
242,6,642,125,45,61,1793,,664.0775237032906,155.0234244283324
242,5,232,161,34,76,1275,,247.4392156862745,200.76627450980394
242,12,41,179,30,67,916,,53.98908296943232,211.48362445414847
242,11,601,201,33,81,1579,,618.8195060164661,245.57504749841672
242,3,437,251,42,104,2592,,457.51813271604937,308.6388888888889
242,13,650,269,42,108,2751,,672.6739367502727,328.9821882951654
243,6,641,127,47,56,1747,,663.3886662850601,155.35603892386948
243,5,231,159,32,77,1227,,243.720456397718,199.32518337408314
243,12,41,180,33,67,967,,54.67218200620476,212.73216132368148
243,11,597,201,36,80,1586,,614.2837326607819,245.6204287515763
243,3,436,248,39,105,2682,,452.41312453392993,305.19276659209544
243,13,644,268,42,108,2482,,667.3444802578566,323.4524576954069
244,6,639,128,49,57,1771,,663.2992659514399,155.49858836815358
244,5,229,159,20,51,720,,238.29583333333332,185.0875
244,12,41,179,32,68,960,,54.489583333333336,212.171875
244,11,595,199,31,81,1449,,609.4596273291926,242.36507936507937
244,5,234,216,24,19,301,,244.62458471760797,226.24584717607974
244,3,422,246,47,103,2401,,447.2332361516035,299.9891711786756
244,13,639,267,43,109,2635,,663.0390891840607,324.07324478178367
245,6,638,128,50,58,1774,,662.54396843292,156.13359639233371
245,5,227,156,23,79,1024,,236.203125,194.2783203125
245,12,41,180,32,67,959,,54.53910323253389,212.3983315954119
245,11,592,197,24,80,1389,,603.6357091432685,238.30597552195823
245,3,412,245,49,100,2102,,440.4162702188392,293.5799238820171
245,13,635,266,42,110,2734,,658.9564740307242,324.7428675932699
246,6,637,124,52,62,1877,,662.786893979755,155.78636121470433
246,5,214,157,35,75,1150,,229.66,197.94434782608695
246,12,41,179,32,68,947,,54.37803590285111,211.86589229144667
246,11,570,196,41,78,1745,,593.3226361031518,241.32320916905445
246,3,405,244,47,100,2284,,430.8493870402802,295.98949211908933
246,13,629,262,40,110,2445,,650.7149284253579,320.22576687116566
247,6,637,124,52,61,1910,,662.8214659685864,156.22670157068063
247,5,213,157,32,74,1127,,226.24046140195207,196.56166814551906
247,12,41,179,32,67,954,,54.430817610062896,212.0104821802935
247,11,568,195,41,79,1695,,589.2743362831858,240.29380530973452
247,3,403,244,43,98,2290,,426.08689956331875,294.2829694323144
247,13,625,260,36,107,2469,,645.2681247468611,318.14904819765087
248,6,636,122,52,65,1997,,661.6720080120181,156.94441662493742
248,5,211,158,21,51,826,,221.10290556900728,184.68765133171914
248,12,41,179,33,67,950,,54.572631578947366,212.03473684210527
248,11,567,194,36,78,1634,,583.9357405140759,238.25826193390452
248,5,214,215,30,16,316,,228.55696202531647,223.60443037974684
248,3,403,244,36,95,2009,,419.6510701841712,290.83125933300147
248,13,617,259,40,106,2597,,640.366576819407,319.1590296495957
249,6,636,125,51,63,1912,,661.9074267782427,156.81119246861925
249,5,206,156,25,53,899,,217.4794215795328,182.64293659621802
249,12,41,179,34,68,966,,54.56314699792961,212.49689440993788
249,11,565,192,27,80,1385,,578.2808664259928,233.76606498194946
249,5,213,215,25,15,280,,224.85357142857143,222.33214285714286
249,3,401,235,31,100,2133,,416.38818565400845,288.7880918893577
249,13,605,259,52,104,2783,,635.2217031979878,320.800574919152
250,6,636,123,49,66,2034,,660.4695181907572,158.14700098328416
250,5,201,156,28,52,855,,215.0233918128655,181.37894736842105
250,12,41,180,33,67,957,,54.40020898641588,212.52351097178683
250,11,562,192,23,78,1279,,573.2673964034402,231.64738076622362
250,3,393,235,39,98,2253,,412.56102973812693,288.9356413670661
250,13,600,259,56,104,2780,,630.3323741007194,320.5802158273381
251,6,637,123,43,65,2065,,658.0338983050848,157.8455205811138
251,5,196,156,33,73,1118,,210.87656529516994,193.36314847942754
251,12,41,179,33,68,955,,54.280628272251306,212.04397905759163
251,11,546,191,36,79,1463,,563.3137388926863,235.3321941216678
251,3,375,233,52,98,2468,,403.2058346839546,286.06969205834685
251,13,597,256,47,103,2680,,618.8761194029851,316.46753731343284
252,6,636,126,46,64,2071,,656.707870593916,158.4934814099469
252,5,195,155,32,74,1121,,207.71454058876003,193.1971454058876
252,12,41,179,32,67,951,,54.33543638275499,211.82124079915877
252,11,545,189,30,79,1354,,558.3589364844904,231.8810930576071
252,3,360,230,60,98,2337,,397.2267864783911,280.15062045357297
252,13,591,255,41,103,2371,,612.4736398144242,312.43441585828765
253,6,636,126,42,66,2052,,655.972709551657,159.60087719298247
253,5,194,155,28,73,996,,204.70481927710844,191.74096385542168
253,12,41,179,32,67,969,,54.3374613003096,212.01754385964912
253,11,539,188,26,78,1302,,552.4984639016897,228.3279569892473
253,3,353,229,58,95,2122,,391.49575871819036,273.18944392082943
253,13,584,254,38,104,2150,,606.7316279069768,307.90232558139536
254,6,634,127,42,67,1980,,654.0227272727273,161.32474747474748
254,5,190,153,24,72,1009,,199.21407333994054,189.85332011892964
254,12,41,179,32,67,962,,54.36486486486486,211.47920997920997
254,11,520,187,40,76,1637,,542.4954184483812,231.9108124618204
254,3,347,227,58,97,2281,,385.0381411661552,274.0377027619465
254,13,574,253,45,104,2506,,598.0666400638468,311.6141260973663
255,6,634,125,43,68,2033,,653.2124938514511,161.80816527299558
255,5,186,153,31,72,1109,,196.9531109107304,191.89449954914338
255,12,41,179,33,67,983,,54.82299084435402,212.4974567650051
255,11,517,187,41,76,1588,,538.5006297229219,231.25188916876576
255,3,348,225,54,98,2197,,381.71370050068276,272.3905325443787
255,13,573,252,45,105,2397,,594.0508969545265,310.1051314142678
256,6,633,128,43,64,2026,,652.309970384995,161.4294175715696
256,5,183,153,31,71,1115,,194.3354260089686,191.37578475336323
256,12,41,179,33,67,980,,54.76428571428571,212.31224489795918
256,11,518,186,35,77,1536,,533.6165364583334,229.33854166666666
256,3,351,223,45,95,2101,,378.0471204188482,270.1770585435507
256,13,568,250,41,104,2286,,588.5739282589676,307.1137357830271
257,6,631,128,43,64,1982,,650.6422805247225,161.9076690211907
257,5,180,154,31,71,1119,,191.50938337801608,190.67649687220734
257,12,41,179,32,68,969,,54.59752321981424,212.2466460268318
257,11,516,184,25,79,1310,,528.2473282442749,225.1351145038168
257,3,358,221,35,96,2116,,374.51701323251416,271.19659735349717
257,13,565,248,35,103,2276,,582.4723198594024,304.3202987697715
258,6,627,129,45,63,1979,,648.5917129863567,162.11470439615968
258,5,172,151,31,71,1135,,185.83436123348017,186.0273127753304
258,12,41,179,33,67,953,,54.614900314795385,212.1647429171039
258,11,501,184,32,76,1361,,518.0830271858928,226.24320352681852
258,3,347,221,41,93,2149,,366.8762214983713,272.3252675663099
258,13,544,247,49,102,2610,,572.580459770115,307.1954022988506
259,6,626,129,44,66,2058,,647.7560738581146,163.33819241982508
259,5,169,151,32,70,1010,,183.24950495049504,183.05049504950495
259,12,41,179,34,68,988,,54.850202429149796,212.8259109311741
259,11,497,184,36,75,1387,,514.056236481615,226.15573179524154
259,3,346,219,40,101,2354,,362.03101104502974,271.3254035683942
259,13,538,248,55,100,2655,,567.7894538606403,307.94086629001885
260,6,625,129,46,67,2059,,647.0242836328315,164.0
260,5,167,152,29,69,1017,,180.99705014749262,184.91445427728613
260,12,41,179,33,67,983,,54.538148524923706,212.00712105798576
260,11,497,182,29,76,1261,,509.4321966693101,223.2791435368755
260,3,333,217,46,95,2163,,356.4355062413315,265.6740638002774
260,13,537,247,54,100,2633,,563.1887580706418,306.9684770224079
